#      BLOCK:      ACTUAL_PE:           PE_AVE:             ERROR:
         1       -0.3832036133       -0.3832036133                   0
         2       -0.3930806046       -0.3881421089      0.003492043759
         3       -0.4017017714       -0.3926619964      0.004363405612
         4       -0.4227297168       -0.4001789265      0.007286136802
         5       -0.4031797302       -0.4007790873      0.005853574943
         6       -0.3782661599       -0.3970269327      0.005960444631
         7       -0.3871082972       -0.3956099848      0.005274686462
         8       -0.3800635254       -0.3936666773        0.0049604284
         9       -0.3879288741       -0.3930291437      0.004450050267
        10       -0.3537127181       -0.3890975011       0.00547288034
        11       -0.3931139435       -0.3894626322      0.004987511017
        12       -0.3757127585       -0.3883168094      0.004701662909
        13        -0.409593733       -0.3899534959      0.004616086574
        14       -0.4196162612       -0.3920722648      0.004747784789
        15       -0.3967190218       -0.3923820486      0.004441360701
        16       -0.4025185535       -0.3930155802      0.004208717717
        17       -0.4187619611       -0.3945300732       0.00422486029
        18       -0.3760820792       -0.3935051846      0.004112578865
        19       -0.3837414422       -0.3929913034      0.003928101773
        20       -0.3825495992       -0.3924692182      0.003766232131
