#      BLOCK:      ACTUAL_P:            P_AVE:             ERROR:
         1       0.04354049741       0.04354049741                   0
         2       0.04265739965       0.04309894853     0.0003122222074
         3       0.04332014844       0.04317268183     0.0002166795962
         4       0.04622702949       0.04393626875      0.000680961183
         5       0.04274769597       0.04369855419      0.000584790367
         6       0.03787688481       0.04272827596      0.001010949632
         7       0.04382089316       0.04288436413      0.000878495437
         8       0.03754793107          0.04221731     0.0009900582805
         9       0.04385190325       0.04239893147     0.0008965558474
        10       0.04036401187       0.04219543951     0.0008296722931
        11       0.04145731032       0.04212833686     0.0007569562564
        12       0.04550160796       0.04240944278     0.0007442447099
        13       0.04283543994       0.04244221179     0.0006877161464
        14        0.0424010245       0.04243926984     0.0006385998571
        15       0.04064858649       0.04231989095     0.0006070822514
        16       0.03970213008        0.0421562809     0.0005907750255
        17       0.04322204905       0.04221897314     0.0005593400703
        18       0.04191172879       0.04220190401     0.0005285260033
        19       0.03978101772       0.04207448895     0.0005158386324
        20        0.0422173171       0.04208163035     0.0004900961321
