#      BLOCK:      ACTUAL_P:            P_AVE:             ERROR:
         1       0.04290103588       0.04290103588                   0
         2       0.04290112454       0.04290108021     3.134491998e-08
         3       0.04247238219       0.04275818087     0.0001166768225
         4       0.04312804858        0.0428506478     0.0001186177998
         5       0.04269883641       0.04282028552     9.870365252e-05
         6       0.04278659304       0.04281467011     8.241262399e-05
         7        0.0424851101       0.04276759011     8.300484053e-05
         8       0.04245936472       0.04272906193     8.107942709e-05
         9       0.04247978783       0.04270136481     7.665549888e-05
        10       0.04272883537       0.04270411187     6.903915373e-05
        11       0.04269102975       0.04270292258     6.277310961e-05
        12       0.04265197565       0.04269867701     5.768541054e-05
        13       0.04267051939       0.04269651104     5.328871964e-05
        14       0.04278697124       0.04270297248     4.987258035e-05
        15        0.0427309486       0.04270483755     4.658260253e-05
        16       0.04252311487       0.04269347989     4.503451071e-05
        17       0.04253715956       0.04268428457     4.331401647e-05
        18       0.04266837855        0.0426834009     4.091669528e-05
        19       0.04234462297       0.04266557049     4.247087801e-05
        20       0.04244803918       0.04265469392     4.171680785e-05
