#      BLOCK:      ACTUAL_PE:           PE_AVE:             ERROR:
         1        -5.486157267        -5.486157267                   0
         2        -5.480092987        -5.483125127      0.002144046767
         3        -5.501596026        -5.489282093      0.005226398434
         4         -5.46958263        -5.484357227      0.005792715268
         5        -5.504201152        -5.488326012      0.005837512693
         6        -5.472463268        -5.485682222      0.005430374301
         7        -5.416745654        -5.475834141       0.01023694802
         8        -5.485466744        -5.477038216      0.009027863808
         9        -5.441476606        -5.473086926      0.008847307353
        10        -5.485525627        -5.474330796      0.008049541481
        11        -5.452037847        -5.472304164      0.007568588728
        12        -5.451235059        -5.470548406      0.007138618915
        13        -5.461735053        -5.469870455      0.006621608382
        14        -5.458698575        -5.469072464      0.006196534058
        15        -5.495222032        -5.470815769      0.006023668867
        16        -5.493677656        -5.472244636      0.005814190365
        17        -5.514809547        -5.474748455      0.005987076055
        18        -5.482518551        -5.475180127      0.005670001277
        19        -5.480292663        -5.475449208      0.005377961243
        20        -5.487555563        -5.476054525      0.005143016206
