#      BLOCK:      ACTUAL_P:            P_AVE:             ERROR:
         1         1.186852138         1.186852138                   0
         2         1.119860189         1.153356164       0.02368523061
         3         1.080389922         1.129034083       0.02537133601
         4         1.253413133         1.160128846       0.03297342981
         5         1.094627366          1.14702855       0.02886403173
         6         1.208955981         1.157349788       0.02583287479
         7         1.407936416         1.193147878       0.03985875123
         8         1.081118209         1.179144169       0.03725526355
         9         1.282926743         1.190675566       0.03485475381
        10         1.143652963         1.185973306       0.03168488213
        11         1.319511755         1.198113165        0.0310430992
        12         1.289807933         1.205754396       0.02938156836
        13         1.200416142         1.205343761       0.02712431707
        14         1.220747218         1.206444008        0.0252091707
        15         1.066267206         1.197098888       0.02520123586
        16         1.090421796         1.190431569       0.02449224739
        17         1.016465726         1.180198284       0.02509846624
        18         1.067429328         1.173933342       0.02447352978
        19         1.082999818         1.169147367       0.02364878556
        20          1.15906139         1.168643069        0.0224717226
