#      BLOCK:      ACTUAL_PE:           PE_AVE:             ERROR:
         1        -7.518313187        -7.518313187                   0
         2        -7.520735543        -7.519524365     0.0008564323579
         3        -7.521473096        -7.520173942     0.0007792880593
         4        -7.518566947        -7.519772193     0.0006801853161
         5        -7.517047941        -7.519227343     0.0007304703157
         6        -7.523271265         -7.51990133     0.0008655028918
         7        -7.520819556        -7.520032505     0.0007517343281
         8        -7.525061209        -7.520661093     0.0008822645015
         9        -7.527972469        -7.521473468      0.001096197926
        10        -7.520277086         -7.52135383     0.0009930852902
        11        -7.520189617        -7.521247992     0.0009084270947
        12        -7.520501687          -7.5211858     0.0008348510026
        13        -7.518028614         -7.52094294     0.0008051816107
        14        -7.520021978        -7.520877157     0.0007503510492
        15        -7.521688545        -7.520931249     0.0007022746948
        16         -7.52274177        -7.521044407     0.0006674368037
        17        -7.525244359        -7.521291463     0.0006723474737
        18        -7.516783262        -7.521041007      0.000680045266
        19        -7.524374611         -7.52121646     0.0006665027752
        20        -7.520647177        -7.521187996     0.0006337851487
