#      BLOCK:      ACTUAL_P:            P_AVE:             ERROR:
         1         7.907412207         7.907412207                   0
         2         7.902900165         7.905156186      0.001595247854
         3         7.897899376         7.902737249      0.002243182148
         4         7.927174083         7.908846458      0.005551778695
         5         7.924869595         7.912051085      0.005286014356
         6         7.890145747         7.908400196      0.005523733023
         7         7.909904153         7.908615047      0.004738804887
         8         7.895567113         7.906984055      0.004418223674
         9         7.896382216         7.905806073      0.004081326088
        10         7.947401725         7.909965638       0.00539111629
        11          7.91800355         7.910696357      0.004950288462
        12          7.91267312         7.910861088      0.004540504453
        13         7.924418772         7.911903986      0.004309341402
        14          7.90557184          7.91145169      0.004025197175
        15         7.908530989         7.911256977      0.003761557248
        16         7.888064089         7.909807421      0.003795497991
        17         7.906838762         7.909632794      0.003576248353
        18         7.948379596         7.911785394      0.003972936554
        19         7.900072868         7.911168946      0.003811359299
        20         7.895813624          7.91040118      0.003697312723
