#      BLOCK:      ACTUAL_P:            P_AVE:             ERROR:
         1         7.801840129         7.801840129                   0
         2         7.747397417         7.774618773       0.01924840542
         3           7.7624535         7.770563682       0.01325253446
         4          7.64861623         7.740076819       0.02821131515
         5         7.820908731         7.756243201       0.02680379917
         6         7.828521126         7.768289522       0.02489673485
         7         7.793841235         7.771939767       0.02160599248
         8         7.781011329         7.773073712       0.01893497641
         9         7.761877419          7.77182968       0.01687190727
        10         7.792036465         7.773850358       0.01530524238
        11         7.862688589         7.781926561       0.01590254414
        12         7.725024263         7.777184703       0.01526794232
        13         7.723108073         7.773024962       0.01464918887
        14         7.752698212         7.771573051       0.01367457985
        15         7.699318483          7.76675608       0.01358488125
        16         7.823395403         7.770296038        0.0131889864
        17         7.765357257         7.770005521       0.01241636289
        18          7.72042757         7.767251191       0.01202818355
        19          7.74099774          7.76586943       0.01147421298
        20         7.725836216         7.763867769       0.01107371953
