#    N_BLOCK:      ACCEPTANCE:
         1               0.616
         2               0.614
         3        0.6176666667
         4               0.615
         5               0.613
         6        0.6186666667
         7        0.6161428571
         8             0.61275
         9        0.6103333333
        10              0.6101
        11        0.6116363636
        12        0.6143333333
        13        0.6157692308
        14        0.6180714286
        15              0.6162
        16           0.6140625
        17               0.615
        18        0.6153888889
        19        0.6164736842
        20             0.61765
        21        0.6167619048
        22        0.6171818182
        23         0.617173913
        24        0.6164583333
        25             0.61468
        26        0.6148461538
        27        0.6146296296
        28        0.6148571429
        29        0.6149655172
        30        0.6141333333
        31        0.6139354839
        32          0.61334375
        33        0.6126969697
        34        0.6122647059
        35        0.6115142857
        36        0.6121111111
        37        0.6106756757
        38        0.6101842105
        39         0.610025641
        40              0.6102
        41        0.6099268293
        42        0.6098333333
        43        0.6096976744
        44        0.6097954545
        45        0.6096888889
        46        0.6094347826
        47        0.6099361702
        48        0.6095833333
        49        0.6101020408
        50             0.61028
        51        0.6102352941
        52        0.6099423077
        53        0.6097169811
        54        0.6098518519
        55                0.61
        56             0.61025
        57        0.6100701754
        58        0.6101206897
        59        0.6103220339
        60        0.6104166667
        61        0.6105081967
        62        0.6104677419
        63        0.6102857143
        64         0.610484375
        65              0.6102
        66        0.6104090909
        67        0.6100597015
        68        0.6098970588
        69        0.6095362319
        70        0.6094714286
        71        0.6094788732
        72        0.6092222222
        73        0.6093150685
        74        0.6090810811
        75             0.60924
        76        0.6093157895
        77        0.6092727273
        78        0.6093333333
        79        0.6091518987
        80           0.6093625
        81        0.6094444444
        82        0.6096829268
        83        0.6097349398
        84              0.6095
        85        0.6092352941
        86        0.6090581395
        87        0.6089425287
        88        0.6086477273
        89        0.6085955056
        90        0.6084555556
        91        0.6083186813
        92              0.6085
        93        0.6086451613
        94        0.6089255319
        95              0.6088
        96        0.6088229167
        97        0.6090618557
        98        0.6093469388
        99        0.6096161616
       100             0.60964
