#      STEP:           E_AVE:             ERROR:
         0        0.1159231867      0.002026903486
         1       -0.1160157532      0.001725433874
         2      -0.08644557435      0.001822976071
         3       -0.2053875885      0.001516098413
         4       -0.2856817025      0.001071912716
         5       -0.2370887603      0.001293269829
         6       -0.2550896455      0.001316199805
         7       -0.3161821966      0.001050136618
         8       -0.3084853964      0.001128388628
         9       -0.2135500839       0.00117697647
        10       -0.2574663131      0.001309913172
        11       -0.2836102579      0.001166749507
        12       -0.2986417119      0.001110245096
        13       -0.3203094532      0.001143853256
        14       -0.3207370542     0.0009582972884
        15       -0.3676086807      0.000867261966
        16       -0.3637076351     0.0009186359847
        17        -0.345133828      0.001096925166
        18       -0.3515598705      0.001027939611
        19       -0.3398646273      0.001091704289
        20       -0.3332989404      0.001147846436
        21       -0.3560320154        0.0009355378
        22       -0.3651864238      0.001017232378
        23        -0.340793358      0.001158202098
        24       -0.3737410292     0.0009409106471
        25        -0.357935027     0.0009913316147
        26       -0.3925393468      0.000728564912
        27       -0.3746043875     0.0008341551874
        28       -0.3741000294     0.0009464939848
        29       -0.3582698025     0.0008724136038
        30        -0.371430228     0.0009342211312
        31       -0.3551515117     0.0009530150928
        32       -0.3563250645      0.001031937233
        33        -0.356105955     0.0009007481093
        34       -0.3555415432       0.00100052388
        35       -0.3624335159      0.001073827275
        36       -0.3564712876     0.0009485378173
        37       -0.3428581768      0.001105068791
        38       -0.3508379231      0.001156577654
        39       -0.3367503613      0.001092438793
        40       -0.3450281208       0.00100852044
        41       -0.3619432235     0.0009588259563
        42       -0.3466846947     0.0008389569059
        43       -0.3730460189     0.0008068612501
        44       -0.3766688263     0.0009143923278
        45        -0.386721664     0.0009768022702
        46       -0.3797130786     0.0008188841692
        47       -0.3766703102     0.0008094176274
        48       -0.3732688364     0.0007713919296
        49       -0.3653085046     0.0008991630264
        50       -0.3571297196     0.0008905923409
        51       -0.3654425802     0.0008643350181
        52       -0.3717273301     0.0008124542445
        53       -0.3775921826     0.0008764667873
        54       -0.3839817966     0.0008413990693
        55       -0.3926186705     0.0007437713333
        56       -0.3900315508     0.0008187109372
        57       -0.3797764028     0.0008700270818
        58       -0.3731280492     0.0008960042251
        59       -0.3643705907     0.0009350917629
        60       -0.3696296992      0.000978069109
        61       -0.3719661814      0.000863215253
        62       -0.3748065212     0.0009219250895
        63       -0.3680807569     0.0008349588927
        64       -0.3751655274     0.0008997859834
        65       -0.3812632298     0.0008509304416
        66       -0.3817046366     0.0008800987697
        67       -0.3847961427     0.0008191679307
        68       -0.3796268265     0.0007803119929
        69       -0.3768603027     0.0007276993237
        70       -0.3831770258     0.0007614115799
        71       -0.3778564289     0.0009006337905
        72       -0.3915756959     0.0009546792524
        73       -0.3881447107     0.0007544912864
        74       -0.3805130343     0.0008557973786
        75       -0.3843840409     0.0007705998872
        76        -0.385245691     0.0008384448902
        77       -0.3923808877     0.0008235407162
        78       -0.3945753016      0.000794383203
        79       -0.3908263685      0.000835667209
        80       -0.3959856508     0.0008409442356
        81       -0.3995206048     0.0007934831725
        82       -0.4012191953     0.0007426840609
        83       -0.4069496628      0.000822604631
        84        -0.405393048     0.0007364545079
        85       -0.4027982829     0.0008592687697
        86       -0.4051903958      0.000861183887
        87       -0.4035285423     0.0007904481201
        88       -0.3985845819     0.0009826929922
        89       -0.3943658402      0.000876337813
        90       -0.3863939219     0.0009052318674
        91       -0.3948046145      0.001026142877
        92        -0.398660831     0.0007943572456
        93       -0.4036700488     0.0007498753338
        94       -0.4046686423     0.0007558154912
        95        -0.409472792     0.0008106565006
        96       -0.4007050228     0.0008546493411
        97       -0.4074696674      0.000820936006
        98       -0.4071615618     0.0008221990845
        99       -0.4020272716     0.0007549205524
       100       -0.4051637741     0.0008598171743
       101       -0.3968345425     0.0007470521306
       102       -0.4072806733     0.0007161884669
       103       -0.4046997412     0.0008596900381
       104       -0.4042037869      0.000752421231
       105       -0.4052752502     0.0007750759656
       106       -0.4085929656     0.0008896331475
       107       -0.4092083647     0.0008278976415
       108        -0.403464937     0.0008233692524
       109       -0.4002166946     0.0008574710851
       110       -0.4035346399     0.0007668354617
       111       -0.4065327178     0.0009504599765
       112       -0.4143936137     0.0008614225057
       113       -0.4143580521     0.0008039434502
       114       -0.4145192422     0.0007247366317
       115       -0.4216024159     0.0006306055124
       116       -0.4175616618      0.000654945777
       117       -0.4202059906     0.0007110401866
       118       -0.4149811139     0.0008666579746
       119        -0.422243978     0.0008485064025
       120       -0.4208882469     0.0007243025237
       121       -0.4190740244     0.0006954443831
       122       -0.4219166877     0.0006614084629
       123         -0.42130259     0.0008201383955
       124       -0.4230609723     0.0007615228233
       125       -0.4278552207     0.0007946260027
       126         -0.42475789     0.0007557093057
       127       -0.4284696081     0.0007531301133
       128       -0.4295181746     0.0007952989853
       129        -0.432516221     0.0008529842771
       130        -0.433520345     0.0007485431797
       131        -0.437082377     0.0007336937626
       132       -0.4404368635     0.0008164752937
       133       -0.4369314146     0.0008626748044
       134       -0.4387156952     0.0008235939399
       135        -0.440233698     0.0007705606068
       136       -0.4421039312     0.0007550288957
       137       -0.4388722315     0.0007224781275
       138       -0.4405195982     0.0006493032995
       139        -0.436964714     0.0009114748042
       140       -0.4390663421     0.0007631460471
       141       -0.4404121081     0.0007439013884
       142       -0.4383799317     0.0007349848247
       143       -0.4405212901     0.0007666443136
       144       -0.4423338388     0.0008615666728
       145       -0.4436232202     0.0008493685957
       146       -0.4415309174     0.0007649171146
       147       -0.4425805824     0.0008541161974
       148       -0.4384007471     0.0009788584359
       149       -0.4358904298     0.0009678727682
       150       -0.4336647622      0.001101487898
       151       -0.4374074542      0.001013190756
       152       -0.4349129066      0.001077814357
       153       -0.4317313099      0.001123341298
       154       -0.4375483552      0.001127182661
       155        -0.440392527     0.0009999136428
       156       -0.4400086769     0.0009495526392
       157       -0.4390433392      0.001161103636
       158       -0.4365682977       0.00117812824
       159       -0.4393342855     0.0009393973336
       160       -0.4387184944     0.0009984995184
       161       -0.4390613533      0.001132948802
       162       -0.4340777053      0.001091661441
       163       -0.4292097678     0.0009634752426
       164       -0.4255290349      0.001231354692
       165       -0.4178854438      0.001151230945
       166       -0.4143557753      0.001255155074
       167       -0.4185730396      0.001103912151
       168       -0.4219050787      0.001023326195
       169       -0.4181213229      0.001300730494
       170       -0.4216301457       0.00107195772
       171       -0.4176003915      0.001295301846
       172       -0.4185453553      0.001328369845
       173       -0.4129150562      0.001209124521
       174       -0.4178850587      0.001548158757
       175       -0.4198321569      0.001108604651
       176       -0.4188111676      0.001218284295
       177        -0.418520069      0.001259473407
       178        -0.420790325      0.001200788819
       179       -0.4141441746      0.001364594253
       180       -0.4172452604      0.001088209245
       181       -0.4170964076      0.001187299051
       182       -0.4223056108       0.00113166776
       183       -0.4266626137      0.001091882815
       184       -0.4203876905      0.001086472984
       185       -0.4255378442     0.0009691508749
       186       -0.4267724014      0.001008104651
       187       -0.4267873293      0.001110156146
       188       -0.4228453514      0.001183411335
       189       -0.4273337961      0.001103925615
       190       -0.4243405032      0.001165571407
       191       -0.4310004728      0.001035011227
       192       -0.4311512925      0.001150113234
       193       -0.4260943059      0.001050177565
       194       -0.4337539559      0.001055933098
       195       -0.4291293749      0.001003286699
       196       -0.4303421373      0.001130049352
       197       -0.4326416913     0.0009785170306
       198       -0.4294221974      0.001435938239
       199       -0.4323388264      0.001140190019
       200       -0.4354249277      0.001175238341
       201       -0.4321151581      0.001188241047
       202       -0.4330214035      0.001264697381
       203        -0.430356623      0.001060756709
       204       -0.4288890105      0.001099344401
       205       -0.4375313538      0.001047994796
       206       -0.4374271132     0.0008591366929
       207       -0.4385227336     0.0008523420824
       208       -0.4385050598      0.000868971549
       209       -0.4371287774      0.001179816699
       210       -0.4379832849      0.001085257741
       211       -0.4376277893       0.00108791022
       212         -0.43817562     0.0008862039098
       213       -0.4422600789     0.0008271389364
       214       -0.4382200601      0.001091941505
       215       -0.4393824498     0.0008793698631
       216       -0.4375068986      0.001078322602
       217       -0.4387321677      0.001055108469
       218       -0.4395448852     0.0009742588385
       219       -0.4335616982     0.0009664995311
       220       -0.4333795129       0.00122317086
       221        -0.437345118      0.001071553309
       222       -0.4330213105      0.000981136241
       223       -0.4373721694     0.0008820123459
       224       -0.4329540555       0.00113283548
       225       -0.4341194229      0.001118703842
       226       -0.4366068584      0.001126106897
       227        -0.432226821       0.00109051327
       228       -0.4381147188     0.0009331140407
       229       -0.4361031063     0.0009386963036
       230       -0.4373840209      0.001017247814
       231       -0.4338839512       0.00112072826
       232       -0.4376551137       0.00130020496
       233       -0.4413057725      0.000955874091
       234       -0.4371280571      0.001211982071
       235       -0.4395899562     0.0009771638598
       236       -0.4385572713      0.001114828483
       237       -0.4355661156       0.00119287699
       238       -0.4368162055      0.001094100566
       239       -0.4337402782      0.001050822881
       240       -0.4363465621      0.001044385824
       241       -0.4357598357      0.001081281221
       242       -0.4321068924      0.001148090141
       243       -0.4292644029      0.001355675057
       244       -0.4382411102      0.001088674361
       245       -0.4364529941      0.001088298176
       246       -0.4394193377      0.001111993583
       247       -0.4420473195     0.0008346568569
       248        -0.443290784     0.0008219953841
       249       -0.4441448034     0.0008153565491
       250       -0.4437641762     0.0007885494625
       251       -0.4441342241     0.0008308761596
       252       -0.4451420273     0.0008062013156
       253       -0.4437448498     0.0007832968802
       254       -0.4445613166     0.0007592359066
       255       -0.4438350469     0.0007186278632
       256       -0.4426469782     0.0008646044163
       257       -0.4434764897     0.0009289631705
       258       -0.4450027431     0.0007843425386
       259       -0.4426084647     0.0008448377365
       260       -0.4431561502     0.0008744896969
       261       -0.4418151255     0.0008729015925
       262         -0.44239677     0.0009795242805
       263       -0.4417795639      0.001029771062
       264       -0.4395270628     0.0008968130635
       265       -0.4410076225     0.0009302426498
       266       -0.4426491344     0.0008995066435
       267       -0.4422523472      0.000920113617
       268       -0.4439615254     0.0008465496568
       269       -0.4420997908     0.0009839707976
       270       -0.4447048913     0.0008395127388
       271       -0.4442080988     0.0008823241571
       272       -0.4442220847      0.000802218927
       273       -0.4447475485     0.0007515078635
       274       -0.4452657528     0.0007251009645
       275       -0.4441135293      0.000792671206
       276       -0.4429320973      0.000906760663
       277       -0.4420504704     0.0008930599737
       278         -0.44418842     0.0009264829336
       279       -0.4432379675      0.000909476091
       280        -0.441578614     0.0009023765696
       281       -0.4427293985     0.0008793769359
       282       -0.4403545934     0.0008143924412
       283       -0.4393381424      0.000876266428
       284       -0.4424489741     0.0009462758918
       285       -0.4437250654     0.0008316130943
       286       -0.4438415896     0.0008034713042
       287       -0.4431931571     0.0007566913946
       288       -0.4420809238     0.0008377023063
       289       -0.4439664157     0.0007620244641
       290       -0.4431905952     0.0008944848418
       291       -0.4433182218      0.000813361217
       292       -0.4431077811      0.000780554196
       293       -0.4414072962     0.0009671584793
       294       -0.4411334845     0.0009362169721
       295       -0.4434195455     0.0008198163514
       296       -0.4423973953     0.0007809521221
       297       -0.4430097973     0.0008051547914
       298       -0.4422573187     0.0008867246668
       299       -0.4381475972     0.0008643267211
       300       -0.4407725084     0.0007355774875
       301       -0.4397244231     0.0008732406608
       302       -0.4410235767     0.0008584888473
       303       -0.4403952001     0.0008625857014
       304       -0.4378339752      0.001015718209
       305       -0.4405790275     0.0006957757861
       306       -0.4395060988     0.0009341062012
       307       -0.4395667542     0.0009167855262
       308       -0.4424338373     0.0009360780313
       309       -0.4400200271     0.0009092217686
       310        -0.438287026     0.0009375789705
       311       -0.4369522896      0.001010994278
       312       -0.4380948795     0.0007788066494
       313       -0.4346245747     0.0008080048248
       314       -0.4346144743     0.0009411065443
       315        -0.438594645     0.0008888385124
       316       -0.4400512427     0.0009460762533
       317       -0.4412499361     0.0008420885146
       318       -0.4399961957     0.0009262666433
       319       -0.4397975559     0.0009008258806
       320       -0.4383402209     0.0008111528557
       321       -0.4381086089     0.0008108739029
       322       -0.4403970068     0.0008746638183
       323       -0.4381131368     0.0007905435479
       324        -0.441207404     0.0009926372055
       325       -0.4400751696     0.0007697725132
       326       -0.4353820182     0.0008118815215
       327       -0.4396384249     0.0007339293958
       328        -0.439750112     0.0007121454739
       329       -0.4398056316     0.0006930337012
       330       -0.4417304638     0.0008252371094
       331       -0.4416584733     0.0007844996588
       332       -0.4441064003     0.0008575031617
       333       -0.4432008377     0.0007831369686
       334       -0.4421375115     0.0007835912816
       335       -0.4438911854     0.0009231670953
       336       -0.4453392222     0.0008217376157
       337       -0.4425650834     0.0008313606351
       338       -0.4439527725      0.000897219074
       339       -0.4431440791     0.0008852128373
       340       -0.4445558212     0.0007700784543
       341       -0.4436962109     0.0007504176421
       342       -0.4434092629     0.0008668839521
       343       -0.4428288823     0.0007279700526
       344       -0.4443598886      0.000903764876
       345       -0.4439651603     0.0009009909765
       346       -0.4441224334     0.0007803225812
       347       -0.4440485211     0.0007549836887
       348       -0.4441603806     0.0008162577965
       349       -0.4446169283     0.0007879447823
       350       -0.4433743503     0.0008564234206
       351       -0.4443943108     0.0007621829823
       352       -0.4432889553     0.0007561025841
       353        -0.445593809     0.0007970220942
       354       -0.4448240995     0.0007206963613
       355       -0.4427535172     0.0008600481135
       356       -0.4439217944     0.0007329610363
       357       -0.4430280918     0.0008011780174
       358         -0.44139252     0.0008363713545
       359       -0.4406807735     0.0007567389421
       360       -0.4415074865     0.0008364155187
       361       -0.4434277594      0.000706773035
       362       -0.4417903845     0.0008925184299
       363        -0.440412969     0.0008316156696
       364       -0.4426883076     0.0008789822314
       365       -0.4439686909     0.0008461231716
       366       -0.4441750276     0.0007722125585
       367       -0.4417886005     0.0008589298397
       368       -0.4448731251     0.0008499582262
       369       -0.4438215909     0.0008321558971
       370       -0.4451893212     0.0006525114209
       371       -0.4445244035     0.0007631059977
       372       -0.4439861098     0.0007983436179
       373       -0.4443763562     0.0007092518121
       374       -0.4439298357     0.0008733672228
       375       -0.4438713937     0.0006591700014
       376       -0.4423693041     0.0006969930241
       377        -0.444760309     0.0007478582109
       378       -0.4438287038     0.0008941524073
       379       -0.4443414619     0.0008246335391
       380       -0.4444162321     0.0008210805305
       381       -0.4444708441     0.0007914913212
       382       -0.4447631999     0.0008170365261
       383       -0.4430992296     0.0007657517259
       384       -0.4439410374      0.000741710348
       385        -0.443555286     0.0007665104531
       386       -0.4451382855     0.0007640279321
       387       -0.4438501297     0.0006816896133
       388       -0.4443600257     0.0007857059532
       389       -0.4428232432     0.0008915087648
       390       -0.4446874498     0.0007422765611
       391       -0.4411800966      0.001001361111
       392       -0.4448519723     0.0007732489632
       393       -0.4433064956     0.0008838493955
       394        -0.445851425     0.0007593615911
       395       -0.4429744706      0.000866662864
       396       -0.4440939778     0.0007510890456
       397       -0.4426963205     0.0007359455633
       398       -0.4425140917     0.0008372634736
       399       -0.4451024228     0.0007047433968
       400        -0.442378598     0.0008273729859
       401       -0.4442906398     0.0007213392221
