#      BLOCK:       ACTUAL_H:            H_AVE:             ERROR:
         1       -0.4662764021       -0.4662764021                   0
         2       -0.4583001105       -0.4622882563      0.002820044946
         3       -0.4479584997       -0.4575116708      0.004329552579
         4       -0.4304762485       -0.4507528152      0.006693704016
         5       -0.4162567298       -0.4438535981      0.008170372574
         6       -0.4408069255       -0.4433458194      0.006824404488
         7       -0.4348320727       -0.4421295698      0.005956884065
         8       -0.4540982776       -0.4436256583      0.005396877917
         9       -0.4248811064       -0.4415429303      0.005183545978
        10       -0.4377473362       -0.4411633709      0.004679067154
        11       -0.4787320298       -0.4445787035      0.005357054213
        12       -0.4101021786       -0.4417056598      0.005628572828
        13       -0.4944473611       -0.4457627137      0.006495219431
        14       -0.4320165158       -0.4447808424      0.006105038031
        15       -0.4383750322       -0.4443537884      0.005712952415
        16       -0.4680451476       -0.4458344984       0.00554446203
        17       -0.4360585546       -0.4452594429      0.005248054022
        18       -0.4698323235       -0.4466246029      0.005130981625
        19       -0.4351940786       -0.4460229964      0.004896072053
        20       -0.4139362357       -0.4444186583      0.004907087088
        21       -0.4508079899       -0.4447229122      0.004682839095
        22       -0.4730433143       -0.4460102032      0.004643548273
        23       -0.4435562866       -0.4459035112      0.004442880401
        24       -0.4345989526       -0.4454324879      0.004282655966
        25       -0.4077297935       -0.4439243801      0.004368822506
        26       -0.4454990729       -0.4439849452      0.004201210658
        27       -0.4174411161       -0.4430018405       0.00415904572
        28       -0.4662756373       -0.4438330475      0.004092726152
        29       -0.4104928684       -0.4426833861       0.00410989887
        30       -0.4513608717       -0.4429726357      0.003983067744
        31         -0.40163657       -0.4416392142      0.004071665208
        32       -0.4603497836       -0.4422239195       0.00398618745
        33       -0.4262918246       -0.4417411287      0.003894520973
        34       -0.4416155191       -0.4417374343       0.00377997799
        35       -0.4111145675       -0.4408624953      0.003771879289
        36       -0.3974315641       -0.4396560805      0.003855212815
        37       -0.4482154275       -0.4398874142      0.003757952104
        38       -0.4283754285       -0.4395844672      0.003671249343
        39       -0.4537009622       -0.4399464286      0.003594913987
        40       -0.4318856662       -0.4397449096      0.003510684842
        41       -0.4418911581       -0.4397972571      0.003425448634
        42       -0.4346350217       -0.4396743467      0.003346094714
        43       -0.4322695125       -0.4395021413        0.0032727068
        44        -0.433872489       -0.4393741946      0.003200827164
        45       -0.4883586741       -0.4404627386      0.003309622908
        46       -0.4386476683       -0.4404232806      0.003237909789
        47       -0.4295250429       -0.4401914032      0.003177309996
        48       -0.4261005603        -0.439897844      0.003124647926
        49       -0.4469203174       -0.4400411597      0.003064164515
        50       -0.4686989749       -0.4406143161      0.003056015975
        51       -0.4710118071       -0.4412103453      0.003053664186
        52       -0.4413990101       -0.4412139735       0.00299494203
        53       -0.4623660435       -0.4416130691      0.002964905507
        54       -0.4469021631       -0.4417110153      0.002911617235
        55       -0.4523171482       -0.4419038541      0.002865057557
        56       -0.4673300127       -0.4423578926      0.002849645485
        57       -0.4641724279       -0.4427406038      0.002825234128
        58       -0.5026065079       -0.4437727745      0.002959068936
        59       -0.4439276797          -0.4437754       0.00290891639
        60       -0.4714817494       -0.4442371725       0.00289685436
        61       -0.4591677008       -0.4444819353       0.00285968657
        62       -0.4347493348       -0.4443249579      0.002817867798
        63       -0.4790658155       -0.4448764001       0.00282658198
        64       -0.4854315104       -0.4455100737      0.002852562089
        65       -0.4686402239       -0.4458659221      0.002830785013
        66       -0.4429770421       -0.4458221512      0.002788232713
        67        -0.460577795       -0.4460423847      0.002755301337
        68       -0.4747962277       -0.4464652353      0.002747037604
        69       -0.4112956768       -0.4459555316      0.002754106469
        70       -0.4267071351       -0.4456805545       0.00272845477
        71       -0.4693429788       -0.4460138281      0.002710303647
        72       -0.4057372089       -0.4454544306      0.002729779062
        73       -0.4439143243       -0.4454333332      0.002692466354
        74       -0.4584758463       -0.4456095834      0.002661844134
        75       -0.4579732679       -0.4457744325      0.002631452516
        76       -0.4529242836       -0.4458685095      0.002598509268
        77       -0.4616111854       -0.4460729599      0.002572792884
        78       -0.4331039137         -0.44590669      0.002545175383
        79       -0.3637552782       -0.4448667988       0.00271710202
        80       -0.4492160527       -0.4449211644      0.002683682083
        81       -0.4300255997       -0.4447372686      0.002656843348
        82       -0.4579941967       -0.4448989384      0.002629357053
        83       -0.3996572453       -0.4443538578      0.002653575794
        84       -0.4250751711       -0.4441243496       0.00263189199
        85       -0.4189822752       -0.4438285605      0.002617497132
        86       -0.4370035585          -0.4437492      0.002588263914
        87        -0.439392901       -0.4436991276      0.002558998057
        88       -0.4408734902       -0.4436670181      0.002530119976
        89       -0.4098504177       -0.4432870563      0.002530061263
        90       -0.4592424797       -0.4434643388       0.00250815291
        91       -0.4724034425       -0.4437823509       0.00250067012
        92       -0.4261785504       -0.4435910052      0.002480798791
        93       -0.4561496619       -0.4437260446      0.002457796139
        94       -0.4603265373       -0.4439026455      0.002437985806
        95       -0.4022906431       -0.4434646245      0.002451355572
        96       -0.4379329423       -0.4434070028      0.002426497753
        97       -0.4311592911       -0.4432807377      0.002404765228
        98       -0.4604777366       -0.4434562173      0.002386620733
        99       -0.4649771183       -0.4436736001       0.00237239284
       100       -0.4542266279       -0.4437791304      0.002351014872
